target_id,pair_id,family,gene_name,uniprot_id,pdb_id,pdb_chain,af2_pdb,experimental_pdb,state,state_label,substrate,substrate_class,ligand_ccd,ligand_sdf,reference_ligand_sdf,has_tonb,tonb_chain,resolution,method,region_annotation_json,split,notes,task_type,evidence_level,label_weight,source_db,source_query,rcsb_polymer_entity_id,sequence_length,reference_coverage,mutation_count,deletion_count,split_group_id,af_version,download_status
tbdt_p0dsn4,tbdt_p0dsn4_6r2q_c,tbdt,,P0DSN4,6R2Q,C,raw_af2/AF-P0DSN4-F1-model_v6.pdb,raw_pdb/6R2Q.pdb,unknown,unknown,heme,heme,CA;HEC,,,false,,2.697,X-RAY DIFFRACTION,,train,silver candidate from RCSB:mpstruc_OPM_beta_barrel; region annotation required before supervised displacement use.,silver_betaomp_displacement,silver,0.35,RCSB,RCSB:mpstruc_OPM_beta_barrel,6R2Q_3,650,1.0,0,0,P0DSN4,6,pdb:exists;afdb:exists
tbdt_p0dsn3,tbdt_p0dsn3_6r2q_a,tbdt,,P0DSN3,6R2Q,A,raw_af2/AF-P0DSN3-F1-model_v6.pdb,raw_pdb/6R2Q.pdb,unknown,unknown,heme,heme,CA;HEC,,,false,,2.697,X-RAY DIFFRACTION,,train,silver candidate from RCSB:mpstruc_OPM_beta_barrel; region annotation required before supervised displacement use.,silver_betaomp_displacement,silver,0.35,RCSB,RCSB:mpstruc_OPM_beta_barrel,6R2Q_1,333,1.0,0,0,P0DSN3,6,pdb:exists;afdb:exists
tbdt_a5fjm7,tbdt_a5fjm7_6h3i_f,tbdt,,A5FJM7,6H3I,F,raw_af2/AF-A5FJM7-F1-model_v6.pdb,raw_pdb/6H3I.pdb,unknown,unknown,none,none,,,,false,,3.5,ELECTRON MICROSCOPY,,train,silver candidate from RCSB:mpstruc_OPM_beta_barrel; region annotation required before supervised displacement use.,silver_betaomp_displacement,silver,0.35,RCSB,RCSB:mpstruc_OPM_beta_barrel,6H3I_3,402,1.0,0,0,A5FJM7,6,pdb:exists;afdb:exists
tbdt_p0a940,tbdt_p0a940_5d0o_a,tbdt,,P0A940,5D0O,A,raw_af2/AF-P0A940-F1-model_v6.pdb,raw_pdb/5D0O.pdb,unknown,unknown,none,none,,,,false,,2.9,X-RAY DIFFRACTION,,train,silver candidate from RCSB:mpstruc_OPM_beta_barrel; region annotation required before supervised displacement use.,silver_betaomp_displacement,silver,0.35,RCSB,RCSB:mpstruc_OPM_beta_barrel,5D0O_1,810,1.0,0,0,P0A940,6,pdb:exists;afdb:exists
tbdt_p77774,tbdt_p77774_5d0o_b,tbdt,,P77774,5D0O,B,raw_af2/AF-P77774-F1-model_v6.pdb,raw_pdb/5D0O.pdb,unknown,unknown,none,none,,,,false,,2.9,X-RAY DIFFRACTION,,train,silver candidate from RCSB:mpstruc_OPM_beta_barrel; region annotation required before supervised displacement use.,silver_betaomp_displacement,silver,0.35,RCSB,RCSB:mpstruc_OPM_beta_barrel,5D0O_2,392,1.0,0,0,P77774,6,pdb:exists;afdb:exists
tbdt_p0a903,tbdt_p0a903_5d0o_c,tbdt,,P0A903,5D0O,C,raw_af2/AF-P0A903-F1-model_v6.pdb,raw_pdb/5D0O.pdb,unknown,unknown,none,none,,,,false,,2.9,X-RAY DIFFRACTION,,train,silver candidate from RCSB:mpstruc_OPM_beta_barrel; region annotation required before supervised displacement use.,silver_betaomp_displacement,silver,0.35,RCSB,RCSB:mpstruc_OPM_beta_barrel,5D0O_3,344,1.0,0,0,P0A903,6,pdb:exists;afdb:exists
tbdt_p0a937,tbdt_p0a937_5d0o_e,tbdt,,P0A937,5D0O,E,raw_af2/AF-P0A937-F1-model_v6.pdb,raw_pdb/5D0O.pdb,unknown,unknown,none,none,,,,false,,2.9,X-RAY DIFFRACTION,,test,silver candidate from RCSB:mpstruc_OPM_beta_barrel; region annotation required before supervised displacement use.,silver_betaomp_displacement,silver,0.35,RCSB,RCSB:mpstruc_OPM_beta_barrel,5D0O_5,123,1.0,0,0,P0A937,6,pdb:exists;afdb:exists
tbdt_p0ac02,tbdt_p0ac02_6lys_d,tbdt,,P0AC02,6LYS,D,raw_af2/AF-P0AC02-F1-model_v6.pdb,raw_pdb/6LYS.pdb,unknown,unknown,none,none,,,,false,,3.05,X-RAY DIFFRACTION,,train,silver candidate from RCSB:mpstruc_OPM_beta_barrel; region annotation required before supervised displacement use.,silver_betaomp_displacement,silver,0.35,RCSB,RCSB:mpstruc_OPM_beta_barrel,6LYS_3,245,1.0,0,0,P0AC02,6,pdb:exists;afdb:exists
tbdt_p0a903,tbdt_p0a903_6lys_c,tbdt,,P0A903,6LYS,C,raw_af2/AF-P0A903-F1-model_v6.pdb,raw_pdb/6LYS.pdb,unknown,unknown,none,none,,,,false,,3.05,X-RAY DIFFRACTION,,train,silver candidate from RCSB:mpstruc_OPM_beta_barrel; region annotation required before supervised displacement use.,silver_betaomp_displacement,silver,0.35,RCSB,RCSB:mpstruc_OPM_beta_barrel,6LYS_5,344,1.0,0,0,P0A903,6,pdb:exists;afdb:exists
tbdt_p0a940,tbdt_p0a940_8adg_a,tbdt,,P0A940,8ADG,A,raw_af2/AF-P0A940-F1-model_v6.pdb,raw_pdb/8ADG.pdb,unknown,unknown,none,none,,,,false,,3.0,ELECTRON MICROSCOPY,,train,silver candidate from RCSB:mpstruc_OPM_beta_barrel; region annotation required before supervised displacement use.,silver_betaomp_displacement,silver,0.35,RCSB,RCSB:mpstruc_OPM_beta_barrel,8ADG_1,813,1.0,0,0,P0A940,6,pdb:exists;afdb:exists
tbdt_p0ac02,tbdt_p0ac02_8adg_d,tbdt,,P0AC02,8ADG,D,raw_af2/AF-P0AC02-F1-model_v6.pdb,raw_pdb/8ADG.pdb,unknown,unknown,none,none,,,,false,,3.0,ELECTRON MICROSCOPY,,train,silver candidate from RCSB:mpstruc_OPM_beta_barrel; region annotation required before supervised displacement use.,silver_betaomp_displacement,silver,0.35,RCSB,RCSB:mpstruc_OPM_beta_barrel,8ADG_4,248,1.0,0,0,P0AC02,6,pdb:exists;afdb:exists
tbdt_p0ac02,tbdt_p0ac02_8adi_d,tbdt,,P0AC02,8ADI,D,raw_af2/AF-P0AC02-F1-model_v6.pdb,raw_pdb/8ADI.pdb,unknown,unknown,none,none,,,,false,,3.4,ELECTRON MICROSCOPY,,train,silver candidate from RCSB:mpstruc_OPM_beta_barrel; region annotation required before supervised displacement use.,silver_betaomp_displacement,silver,0.35,RCSB,RCSB:mpstruc_OPM_beta_barrel,8ADI_4,248,1.0,0,0,P0AC02,6,pdb:exists;afdb:exists
tbdt_p0ac02,tbdt_p0ac02_5d0o_d,tbdt,,P0AC02,5D0O,D,raw_af2/AF-P0AC02-F1-model_v6.pdb,raw_pdb/5D0O.pdb,unknown,unknown,none,none,,,,false,,2.9,X-RAY DIFFRACTION,,train,silver candidate from RCSB:mpstruc_OPM_beta_barrel; region annotation required before supervised displacement use.,silver_betaomp_displacement,silver,0.35,RCSB,RCSB:mpstruc_OPM_beta_barrel,5D0O_4,245,1.0,0,0,P0AC02,6,pdb:exists;afdb:exists
tbdt_p0a940,tbdt_p0a940_6lys_a,tbdt,,P0A940,6LYS,A,raw_af2/AF-P0A940-F1-model_v6.pdb,raw_pdb/6LYS.pdb,unknown,unknown,none,none,,,,false,,3.05,X-RAY DIFFRACTION,,train,silver candidate from RCSB:mpstruc_OPM_beta_barrel; region annotation required before supervised displacement use.,silver_betaomp_displacement,silver,0.35,RCSB,RCSB:mpstruc_OPM_beta_barrel,6LYS_1,810,1.0,0,0,P0A940,6,pdb:exists;afdb:exists
