target_id,pair_id,family,gene_name,uniprot_id,pdb_id,pdb_chain,af2_pdb,experimental_pdb,state,state_label,substrate,substrate_class,ligand_ccd,ligand_sdf,reference_ligand_sdf,has_tonb,tonb_chain,resolution,method,region_annotation_json,split,notes,task_type,evidence_level,label_weight,source_db,source_query,rcsb_polymer_entity_id,sequence_length,reference_coverage,mutation_count,deletion_count,split_group_id,af_version,download_status
tbdt_p76115,tbdt_p76115_6v81_a,tbdt,,P76115,6V81,A,raw_af2/AF-P76115-F1-model_v6.pdb,raw_pdb/6V81.pdb,substrate_bound,substrate_bound,unknown_siderophore,unknown_siderophore,CA,,,false,,2.957,X-RAY DIFFRACTION,,train,gold candidate from RCSB:TBDT_Pfam_InterPro_text; region annotation required before supervised displacement use.,gold_displacement,gold,1.0,RCSB,RCSB:TBDT_Pfam_InterPro_text,6V81_1,700,1.0,0,0,P76115,6,pdb:exists;afdb:exists
tbdt_p16869,tbdt_p16869_6e4v_a,tbdt,,P16869,6E4V,A,raw_af2/AF-P16869-F1-model_v6.pdb,raw_pdb/6E4V.pdb,substrate_bound,substrate_bound,unknown_siderophore,unknown_siderophore,,,,false,,2.0,X-RAY DIFFRACTION,,train,gold candidate from RCSB:TBDT_Pfam_InterPro_text; region annotation required before supervised displacement use.,gold_displacement,gold,1.0,RCSB,RCSB:TBDT_Pfam_InterPro_text,6E4V_1,693,0.9506172839506173,0,0,P16869,6,pdb:exists;afdb:exists
tbdt_a0a0c7cqy7,tbdt_a0a0c7cqy7_8b43_a,tbdt,,A0A0C7CQY7,8B43,A,raw_af2/AF-A0A0C7CQY7-F1-model_v6.pdb,raw_pdb/8B43.pdb,substrate_bound,substrate_bound,unknown_siderophore,unknown_siderophore,FE;OX8,,,false,,2.49,X-RAY DIFFRACTION,,train,gold candidate from RCSB:TBDT_Pfam_InterPro_text; region annotation required before supervised displacement use.,gold_displacement,gold,1.0,RCSB,RCSB:TBDT_Pfam_InterPro_text,8B43_1,820,1.0,0,0,A0A0C7CQY7,6,pdb:exists;afdb:exists
tbdt_q841a2,tbdt_q841a2_4b7o_a,tbdt,,Q841A2,4B7O,A,raw_af2/AF-Q841A2-F1-model_v6.pdb,raw_pdb/4B7O.pdb,apo,apo,none,none,,,,false,,2.32,X-RAY DIFFRACTION,,val,gold candidate from RCSB:TBDT_Pfam_InterPro_text; region annotation required before supervised displacement use.,gold_displacement,gold,1.0,RCSB,RCSB:TBDT_Pfam_InterPro_text,4B7O_1,745,1.0,0,0,Q841A2,6,pdb:exists;afdb:exists
fepa_q05098,fepa_q05098_6z2n_aaa,fepa,fepa,Q05098,6Z2N,AAA,raw_af2/AF-Q05098-F1-model_v6.pdb,raw_pdb/6Z2N.cif,substrate_bound,substrate_bound,enterobactin,enterobactin,EDO;FE;Q5N,,,false,,3.029,X-RAY DIFFRACTION,,train,gold candidate from RCSB:TBDT_Pfam_InterPro_text; region annotation required before supervised displacement use.,gold_displacement,gold,1.0,RCSB,RCSB:TBDT_Pfam_InterPro_text,6Z2N_1,724,0.9664879356568364,0,0,Q05098,6,cif:downloaded;afdb:exists
fepa_q05098,fepa_q05098_6y47_a,fepa,fepa,Q05098,6Y47,A,raw_af2/AF-Q05098-F1-model_v6.pdb,raw_pdb/6Y47.pdb,substrate_bound,substrate_bound,enterobactin,enterobactin,EDO;FE;OWT,,,false,,3.04,X-RAY DIFFRACTION,,train,gold candidate from RCSB:TBDT_Pfam_InterPro_text; region annotation required before supervised displacement use.,gold_displacement,gold,1.0,RCSB,RCSB:TBDT_Pfam_InterPro_text,6Y47_1,724,0.9664879356568364,0,0,Q05098,6,pdb:exists;afdb:exists
fyua_p46359,fyua_p46359_4epa_a,fyua,fyua,P46359,4EPA,A,raw_af2/AF-P46359-F1-model_v6.pdb,raw_pdb/4EPA.pdb,apo,apo,none,none,,,,false,,3.2,X-RAY DIFFRACTION,,train,gold candidate from RCSB:TBDT_Pfam_InterPro_text; region annotation required before supervised displacement use.,gold_displacement,gold,1.0,RCSB,RCSB:TBDT_Pfam_InterPro_text,4EPA_1,655,0.9673105497771174,0,0,P46359,6,pdb:exists;afdb:exists
tbdt_q51162,tbdt_q51162_4aip_a,tbdt,,Q51162,4AIP,A,raw_af2/AF-Q51162-F1-model_v6.pdb,raw_pdb/4AIP.pdb,apo,apo,none,none,,,,false,,2.4,X-RAY DIFFRACTION,,train,gold candidate from RCSB:TBDT_Pfam_InterPro_text; region annotation required before supervised displacement use.,gold_displacement,gold,1.0,RCSB,RCSB:TBDT_Pfam_InterPro_text,4AIP_1,742,0.9694444444444444,0,0,Q51162,6,pdb:exists;afdb:exists
tbdt_d0cah3,tbdt_d0cah3_5fp1_a,tbdt,,D0CAH3,5FP1,A,raw_af2/AF-D0CAH3-F1-model_v6.pdb,raw_pdb/5FP1.pdb,substrate_bound,substrate_bound,unknown_siderophore,unknown_siderophore,,,,false,,1.94,X-RAY DIFFRACTION,,train,gold candidate from RCSB:TBDT_Pfam_InterPro_text; region annotation required before supervised displacement use.,gold_displacement,gold,1.0,RCSB,RCSB:TBDT_Pfam_InterPro_text,5FP1_1,718,0.9623149394347241,0,0,D0CAH3,6,pdb:exists;afdb:exists
fepa_d0c8v9,fepa_d0c8v9_5fr8_a,fepa,fepa,D0C8V9,5FR8,A,raw_af2/AF-D0C8V9-F1-model_v6.pdb,raw_pdb/5FR8.pdb,substrate_bound,substrate_bound,enterobactin,enterobactin,,,,false,,2.83,X-RAY DIFFRACTION,,test,gold candidate from RCSB:TBDT_Pfam_InterPro_text; region annotation required before supervised displacement use.,gold_displacement,gold,1.0,RCSB,RCSB:TBDT_Pfam_InterPro_text,5FR8_1,733,0.9681697612732095,0,0,D0C8V9,6,pdb:exists;afdb:exists
