target_id,pair_id,family,gene_name,uniprot_id,pdb_id,pdb_chain,af2_pdb,experimental_pdb,state,state_label,substrate,substrate_class,ligand_ccd,ligand_sdf,reference_ligand_sdf,has_tonb,tonb_chain,resolution,method,region_annotation_json,split,notes,chain,af2_chain,holo_chain
fhua_p06971,fhua_p06971_1fcp_a,fhua,fhua,P06971,1FCP,A,raw_af2/AF-P06971-F1-model_v6.pdb,raw_pdb/1FCP.pdb,substrate_bound,substrate_bound,ferrichrome,ferrichrome,NI,,,false,,2.7,X-RAY DIFFRACTION,tbdt_region_annotations/auto/fhua_p06971.json,train,RCSB Search API candidate; auto region annotation generated for supervised smoke training.; training_manifest_auto_annotation,A,A,A
fhua_p06971,fhua_p06971_2grx_a,fhua,fhua,P06971,2GRX,A,raw_af2/AF-P06971-F1-model_v6.pdb,raw_pdb/2GRX.pdb,tonb_bound,tonb_bound,ferrichrome,ferrichrome,DAO;EAP;FTT;MYR;PO4,,,true,,3.3,X-RAY DIFFRACTION,tbdt_region_annotations/auto/fhua_p06971.json,train,RCSB Search API candidate; auto region annotation generated for supervised smoke training.; training_manifest_auto_annotation,A,A,A
btub_p06129,btub_p06129_2guf_a,btub,btub,P06129,2GUF,A,raw_af2/AF-P06129-F1-model_v6.pdb,raw_pdb/2GUF.pdb,apo,apo,none,none,,,,false,,1.95,X-RAY DIFFRACTION,tbdt_region_annotations/auto/btub_p06129.json,train,RCSB Search API candidate; auto region annotation generated for supervised smoke training.; training_manifest_auto_annotation,A,A,A
fhua_p06971,fhua_p06971_2fcp_a,fhua,fhua,P06971,2FCP,A,raw_af2/AF-P06971-F1-model_v6.pdb,raw_pdb/2FCP.pdb,substrate_bound,substrate_bound,ferrichrome,ferrichrome,AAE;EA2;LIL;LIM;NI,,,false,,2.5,X-RAY DIFFRACTION,tbdt_region_annotations/auto/fhua_p06971.json,test,RCSB Search API candidate; auto region annotation generated for supervised smoke training.; training_manifest_auto_annotation,A,A,A
feca_p13036,feca_p13036_1kmp_a,feca,feca,P13036,1KMP,A,raw_af2/AF-P13036-F1-model_v6.pdb,raw_pdb/1KMP.pdb,productive_substrate_bound,productive_substrate_bound,ferric_citrate,ferric_citrate,CIT;FE,,,false,,2.5,X-RAY DIFFRACTION,tbdt_region_annotations/feca_p13036.json,train,RCSB Search API candidate; auto region annotation generated for supervised smoke training.; training_manifest_auto_annotation,A,A,A
fhua_p06971,fhua_p06971_1by3_a,fhua,fhua,P06971,1BY3,A,raw_af2/AF-P06971-F1-model_v6.pdb,raw_pdb/1BY3.pdb,apo,apo,none,none,,,,false,,2.74,X-RAY DIFFRACTION,tbdt_region_annotations/auto/fhua_p06971.json,train,RCSB Search API candidate; auto region annotation generated for supervised smoke training.; training_manifest_auto_annotation,A,A,A
fhua_p06971,fhua_p06971_1by5_a,fhua,fhua,P06971,1BY5,A,raw_af2/AF-P06971-F1-model_v6.pdb,raw_pdb/1BY5.pdb,substrate_bound,substrate_bound,ferrichrome,ferrichrome,FE,,,false,,2.6,X-RAY DIFFRACTION,tbdt_region_annotations/auto/fhua_p06971.json,test,RCSB Search API candidate; auto region annotation generated for supervised smoke training.; training_manifest_auto_annotation,A,A,A
feca_p13036,feca_p13036_1po3_a,feca,feca,P13036,1PO3,A,raw_af2/AF-P13036-F1-model_v6.pdb,raw_pdb/1PO3.pdb,productive_substrate_bound,productive_substrate_bound,ferric_citrate,ferric_citrate,FE;FLC,,,false,,3.4,X-RAY DIFFRACTION,tbdt_region_annotations/feca_p13036.json,train,RCSB Search API candidate; auto region annotation generated for supervised smoke training.; training_manifest_auto_annotation,A,A,A
fyua_p46359,fyua_p46359_4epa_a,fyua,fyua,P46359,4EPA,A,raw_af2/AF-P46359-F1-model_v6.pdb,raw_pdb/4EPA.pdb,apo,apo,none,none,,,,false,,3.2,X-RAY DIFFRACTION,tbdt_region_annotations/auto/fyua_p46359.json,val,RCSB Search API candidate; auto region annotation generated for supervised smoke training.; training_manifest_auto_annotation,A,A,A
feca_p13036,feca_p13036_1po0_a,feca,feca,P13036,1PO0,A,raw_af2/AF-P13036-F1-model_v6.pdb,raw_pdb/1PO0.pdb,substrate_bound,substrate_bound,ferric_citrate,ferric_citrate,,,,false,,2.15,X-RAY DIFFRACTION,tbdt_region_annotations/feca_p13036.json,train,RCSB Search API candidate; auto region annotation generated for supervised smoke training.; training_manifest_auto_annotation,A,A,A
feca_p13036,feca_p13036_1pnz_a,feca,feca,P13036,1PNZ,A,raw_af2/AF-P13036-F1-model_v6.pdb,raw_pdb/1PNZ.pdb,apo,apo,none,none,,,,false,,2.5,X-RAY DIFFRACTION,tbdt_region_annotations/feca_p13036.json,train,RCSB Search API candidate; auto region annotation generated for supervised smoke training.; training_manifest_auto_annotation,A,A,A
fhua_p06971,fhua_p06971_1qjq_a,fhua,fhua,P06971,1QJQ,A,raw_af2/AF-P06971-F1-model_v6.pdb,raw_pdb/1QJQ.pdb,substrate_bound,substrate_bound,ferrichrome,ferrichrome,DPO;FTT;NI;PO4,,,false,,2.95,X-RAY DIFFRACTION,tbdt_region_annotations/auto/fhua_p06971.json,train,RCSB Search API candidate; auto region annotation generated for supervised smoke training.; training_manifest_auto_annotation,A,A,A
fhua_p06971,fhua_p06971_1qkc_a,fhua,fhua,P06971,1QKC,A,raw_af2/AF-P06971-F1-model_v6.pdb,raw_pdb/1QKC.pdb,substrate_bound,substrate_bound,ferrichrome,ferrichrome,DPO;FTT;NI;PO4,,,false,,3.1,X-RAY DIFFRACTION,tbdt_region_annotations/auto/fhua_p06971.json,train,RCSB Search API candidate; auto region annotation generated for supervised smoke training.; training_manifest_auto_annotation,A,A,A
fhua_p06971,fhua_p06971_1qff_a,fhua,fhua,P06971,1QFF,A,raw_af2/AF-P06971-F1-model_v6.pdb,raw_pdb/1QFF.pdb,substrate_bound,substrate_bound,ferrichrome,ferrichrome,DAO;DPO;EAP;FTT;MYR;PO4,,,false,,2.7,X-RAY DIFFRACTION,tbdt_region_annotations/auto/fhua_p06971.json,train,RCSB Search API candidate; auto region annotation generated for supervised smoke training.; training_manifest_auto_annotation,A,A,A
fhua_p06971,fhua_p06971_1fi1_a,fhua,fhua,P06971,1FI1,A,raw_af2/AF-P06971-F1-model_v6.pdb,raw_pdb/1FI1.pdb,substrate_bound,substrate_bound,unknown_siderophore,unknown_siderophore,DPO;FTT;NA;NI;PO4,,,false,,2.9,X-RAY DIFFRACTION,tbdt_region_annotations/auto/fhua_p06971.json,train,RCSB Search API candidate; auto region annotation generated for supervised smoke training.; training_manifest_auto_annotation,A,A,A
btub_p06129,btub_p06129_2gsk_a,btub,btub,P06129,2GSK,A,raw_af2/AF-P06129-F1-model_v6.pdb,raw_pdb/2GSK.pdb,tonb_bound,tonb_bound,none,none,CA,,,true,,2.1,X-RAY DIFFRACTION,tbdt_region_annotations/auto/btub_p06129.json,train,RCSB Search API candidate; auto region annotation generated for supervised smoke training.; training_manifest_auto_annotation,A,A,A
fhua_p06971,fhua_p06971_1qfg_a,fhua,fhua,P06971,1QFG,A,raw_af2/AF-P06971-F1-model_v6.pdb,raw_pdb/1QFG.pdb,substrate_bound,substrate_bound,ferrichrome,ferrichrome,DAO;DPO;FTT;MYR;NI;PO4,,,false,,2.5,X-RAY DIFFRACTION,tbdt_region_annotations/auto/fhua_p06971.json,test,RCSB Search API candidate; auto region annotation generated for supervised smoke training.; training_manifest_auto_annotation,A,A,A
fhua_p06971,fhua_p06971_8a8c_a,fhua,fhua,P06971,8A8C,A,raw_af2/AF-P06971-F1-model_v6.pdb,raw_pdb/8A8C.pdb,substrate_bound,substrate_bound,ferrichrome,ferrichrome,,,,false,,3.1,ELECTRON MICROSCOPY,tbdt_region_annotations/auto/fhua_p06971.json,train,RCSB Search API candidate; auto region annotation generated for supervised smoke training.; training_manifest_auto_annotation,A,A,A
feca_p13036,feca_p13036_1kmo_a,feca,feca,P13036,1KMO,A,raw_af2/AF-P13036-F1-model_v6.pdb,raw_pdb/1KMO.pdb,apo,apo,none,none,,,,false,,2.0,X-RAY DIFFRACTION,tbdt_region_annotations/feca_p13036.json,train,RCSB Search API candidate; auto region annotation generated for supervised smoke training.; training_manifest_auto_annotation,A,A,A
fhua_p06971,fhua_p06971_8b14_a,fhua,fhua,P06971,8B14,A,raw_af2/AF-P06971-F1-model_v6.pdb,raw_pdb/8B14.pdb,apo,apo,none,none,,,,false,,2.6,ELECTRON MICROSCOPY,tbdt_region_annotations/auto/fhua_p06971.json,test,RCSB Search API candidate; auto region annotation generated for supervised smoke training.; training_manifest_auto_annotation,A,A,A
